attraction_name,city,entry_fee,timings,category
Red Fort,Delhi,50,9:00 AM - 5:30 PM,Heritage
India Gate,Delhi,120,9:00 AM - 5:30 PM,Heritage
Qutub Minar,Delhi,100,9:00 AM - 6:00 PM,Attraction
Humayun's Tomb,Delhi,180,9:00 AM - 5:30 PM,Heritage
Lotus Temple,Delhi,50,5:00 AM - 9:00 PM,Religious
Akshardham Temple,Delhi,0,5:00 AM - 9:00 PM,Religious
Jama Masjid,Delhi,50,9:00 AM - 6:00 PM,Attraction
Gurudwara Bangla Sahib,Delhi,40,5:00 AM - 9:00 PM,Religious
Rashtrapati Bhavan,Delhi,110,9:00 AM - 6:00 PM,Attraction
Parliament House,Delhi,100,9:00 AM - 6:00 PM,Attraction
Purana Qila,Delhi,80,9:00 AM - 6:00 PM,Attraction
Lodhi Garden,Delhi,90,6:00 AM - 6:00 PM,Nature
National Museum,Delhi,200,10:00 AM - 5:30 PM,Museum
National Gallery of Modern Art,Delhi,180,10:00 AM - 5:30 PM,Museum
National Rail Museum,Delhi,170,10:00 AM - 5:30 PM,Museum
Nehru Planetarium,Delhi,100,10:00 AM - 5:30 PM,Museum
Gandhi Smriti,Delhi,20,9:00 AM - 6:00 PM,Attraction
Raj Ghat,Delhi,110,9:00 AM - 6:00 PM,Attraction
Safdarjung Tomb,Delhi,40,9:00 AM - 5:30 PM,Heritage
Agrasen Ki Baoli,Delhi,50,9:00 AM - 5:30 PM,Heritage
Jantar Mantar,Delhi,60,9:00 AM - 6:00 PM,Attraction
Dilli Haat INA,Delhi,150,9:00 AM - 6:00 PM,Attraction
Garden of Five Senses,Delhi,10,6:00 AM - 6:00 PM,Nature
Sunder Nursery,Delhi,90,9:00 AM - 6:00 PM,Attraction
National Zoological Park,Delhi,50,7:00 AM - 5:30 PM,Wildlife
Chandni Chowk,Delhi,150,9:00 AM - 6:00 PM,Attraction
Connaught Place,Delhi,120,9:00 AM - 6:00 PM,Attraction
ISKCON Temple Delhi,Delhi,30,5:00 AM - 9:00 PM,Religious
Chhatarpur Temple,Delhi,50,5:00 AM - 9:00 PM,Religious
Kalkaji Mandir,Delhi,20,5:00 AM - 9:00 PM,Religious
National Science Centre,Delhi,90,10:00 AM - 5:30 PM,Museum
Shankar's International Dolls Museum,Delhi,150,10:00 AM - 5:30 PM,Museum
Crafts Museum,Delhi,110,10:00 AM - 5:30 PM,Museum
Tughlaqabad Fort,Delhi,130,9:00 AM - 5:30 PM,Heritage
Mehrauli Archaeological Park,Delhi,50,6:00 AM - 6:00 PM,Nature
Sanjay Van,Delhi,140,9:00 AM - 6:00 PM,Attraction
Deer Park Hauz Khas,Delhi,60,6:00 AM - 6:00 PM,Nature
Hauz Khas Village,Delhi,130,9:00 AM - 6:00 PM,Attraction
Lal Mandir,Delhi,40,5:00 AM - 9:00 PM,Religious
Birla Mandir Delhi,Delhi,50,5:00 AM - 9:00 PM,Religious
Gateway of India,Mumbai,40,9:00 AM - 5:30 PM,Heritage
Chhatrapati Shivaji Maharaj Terminus,Mumbai,130,9:00 AM - 6:00 PM,Attraction
Elephanta Caves,Mumbai,120,9:00 AM - 5:30 PM,Heritage
Marine Drive,Mumbai,30,9:00 AM - 6:00 PM,Attraction
Chowpatty Beach,Mumbai,0,6:00 AM - 7:00 PM,Beach
Siddhivinayak Temple,Mumbai,40,5:00 AM - 9:00 PM,Religious
Haji Ali Dargah,Mumbai,40,5:00 AM - 9:00 PM,Religious
Sanjay Gandhi National Park,Mumbai,230,7:00 AM - 5:30 PM,Wildlife
Kanheri Caves,Mumbai,110,9:00 AM - 5:30 PM,Heritage
Nehru Planetarium Mumbai,Mumbai,170,10:00 AM - 5:30 PM,Museum
Nehru Science Centre,Mumbai,70,10:00 AM - 5:30 PM,Museum
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,120,9:00 AM - 6:00 PM,Attraction
Dr Bhau Daji Lad Mumbai City Museum,Mumbai,120,10:00 AM - 5:30 PM,Museum
Mani Bhavan Gandhi Museum,Mumbai,30,10:00 AM - 5:30 PM,Museum
Mahalaxmi Temple,Mumbai,50,5:00 AM - 9:00 PM,Religious
Mount Mary Basilica,Mumbai,20,5:00 AM - 9:00 PM,Religious
Global Vipassana Pagoda,Mumbai,70,9:00 AM - 6:00 PM,Attraction
Bandra-Worli Sea Link,Mumbai,90,9:00 AM - 6:00 PM,Attraction
Juhu Beach,Mumbai,0,6:00 AM - 7:00 PM,Beach
Versova Beach,Mumbai,0,6:00 AM - 7:00 PM,Beach
Powai Lake,Mumbai,60,6:00 AM - 6:00 PM,Nature
Hanging Gardens,Mumbai,10,6:00 AM - 6:00 PM,Nature
Kamala Nehru Park,Mumbai,60,6:00 AM - 6:00 PM,Nature
Sewri Fort,Mumbai,200,9:00 AM - 5:30 PM,Heritage
Worli Fort,Mumbai,190,9:00 AM - 5:30 PM,Heritage
Bandra Fort,Mumbai,170,9:00 AM - 5:30 PM,Heritage
Colaba Causeway,Mumbai,0,10:00 AM - 10:00 PM,Shopping
Crawford Market,Mumbai,0,10:00 AM - 10:00 PM,Shopping
Flora Fountain,Mumbai,150,9:00 AM - 6:00 PM,Attraction
Jehangir Art Gallery,Mumbai,60,10:00 AM - 5:30 PM,Museum
National Gallery of Modern Art Mumbai,Mumbai,160,10:00 AM - 5:30 PM,Museum
Taraporewala Aquarium,Mumbai,100,9:00 AM - 6:00 PM,Attraction
EsselWorld,Mumbai,1420,10:00 AM - 7:00 PM,Amusement Park
